"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 10 03:29:16 UTC 2023","Sun Sep 10 03:29:19 UTC 2023","3496","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sun Sep 10 02:55:31 UTC 2023","Sun Sep 10 02:55:43 UTC 2023","12755","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Sun Sep 10 02:56:20 UTC 2023","Sun Sep 10 02:56:21 UTC 2023","511","","6. Company Account","","","","9. Review Final Review",""
"passed","Sun Sep 10 02:37:57 UTC 2023","Sun Sep 10 02:38:00 UTC 2023","2913","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Sep 10 04:04:42 UTC 2023","Sun Sep 10 04:04:46 UTC 2023","3186","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Sep 10 02:51:44 UTC 2023","Sun Sep 10 02:51:51 UTC 2023","6858","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sun Sep 10 03:22:24 UTC 2023","Sun Sep 10 03:22:26 UTC 2023","1984","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Sep 10 03:49:47 UTC 2023","Sun Sep 10 03:50:09 UTC 2023","21923","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Sun Sep 10 03:08:11 UTC 2023","Sun Sep 10 03:08:27 UTC 2023","16653","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sun Sep 10 02:21:12 UTC 2023","Sun Sep 10 02:21:20 UTC 2023","7984","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sun Sep 10 02:28:16 UTC 2023","Sun Sep 10 02:28:40 UTC 2023","23609","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Sep 10 03:08:28 UTC 2023","Sun Sep 10 03:08:28 UTC 2023","604","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Sun Sep 10 04:04:58 UTC 2023","Sun Sep 10 04:05:26 UTC 2023","28572","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Sun Sep 10 03:54:49 UTC 2023","Sun Sep 10 03:55:42 UTC 2023","52440","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Sun Sep 10 02:52:57 UTC 2023","Sun Sep 10 02:53:01 UTC 2023","3743","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Sep 10 03:26:17 UTC 2023","Sun Sep 10 03:27:04 UTC 2023","47248","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Sun Sep 10 03:29:23 UTC 2023","Sun Sep 10 03:29:26 UTC 2023","2765","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Sun Sep 10 02:55:28 UTC 2023","Sun Sep 10 02:55:30 UTC 2023","2645","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sun Sep 10 03:29:13 UTC 2023","Sun Sep 10 03:29:16 UTC 2023","3126","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sun Sep 10 03:50:21 UTC 2023","Sun Sep 10 03:50:25 UTC 2023","3750","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Sun Sep 10 02:22:01 UTC 2023","Sun Sep 10 02:22:25 UTC 2023","24336","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sun Sep 10 03:08:28 UTC 2023","Sun Sep 10 03:08:40 UTC 2023","11449","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sun Sep 10 04:04:48 UTC 2023","Sun Sep 10 04:04:58 UTC 2023","9558","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sun Sep 10 02:56:06 UTC 2023","Sun Sep 10 02:56:17 UTC 2023","11523","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sun Sep 10 03:09:08 UTC 2023","Sun Sep 10 03:09:11 UTC 2023","2554","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sun Sep 10 02:43:01 UTC 2023","Sun Sep 10 02:43:10 UTC 2023","8905","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sun Sep 10 03:29:26 UTC 2023","Sun Sep 10 03:29:29 UTC 2023","2944","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Sun Sep 10 02:24:15 UTC 2023","Sun Sep 10 02:24:36 UTC 2023","20907","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sun Sep 10 03:22:10 UTC 2023","Sun Sep 10 03:22:24 UTC 2023","14039","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sun Sep 10 03:51:13 UTC 2023","Sun Sep 10 03:51:19 UTC 2023","5436","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Sun Sep 10 02:34:45 UTC 2023","Sun Sep 10 02:34:55 UTC 2023","9836","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Sun Sep 10 02:35:31 UTC 2023","Sun Sep 10 02:35:41 UTC 2023","9225","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sun Sep 10 02:55:43 UTC 2023","Sun Sep 10 02:55:47 UTC 2023","4108","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sun Sep 10 03:44:55 UTC 2023","Sun Sep 10 03:44:56 UTC 2023","951","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sun Sep 10 03:29:57 UTC 2023","Sun Sep 10 03:29:59 UTC 2023","2327","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Sun Sep 10 02:28:50 UTC 2023","Sun Sep 10 02:29:09 UTC 2023","18811","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"skipped","Sun Sep 10 02:21:20 UTC 2023","Sun Sep 10 02:21:20 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sun Sep 10 02:42:29 UTC 2023","Sun Sep 10 02:43:01 UTC 2023","31976","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Sep 10 03:09:12 UTC 2023","Sun Sep 10 03:09:24 UTC 2023","11653","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sun Sep 10 02:29:16 UTC 2023","Sun Sep 10 02:29:28 UTC 2023","12071","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sun Sep 10 02:55:01 UTC 2023","Sun Sep 10 02:55:20 UTC 2023","19134","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sun Sep 10 02:52:30 UTC 2023","Sun Sep 10 02:52:33 UTC 2023","3050","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Sep 10 03:44:42 UTC 2023","Sun Sep 10 03:44:43 UTC 2023","460","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sun Sep 10 02:47:57 UTC 2023","Sun Sep 10 02:47:59 UTC 2023","2492","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sun Sep 10 03:35:01 UTC 2023","Sun Sep 10 03:39:13 UTC 2023","251505","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sun Sep 10 02:31:12 UTC 2023","Sun Sep 10 02:31:17 UTC 2023","4763","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Sun Sep 10 03:09:24 UTC 2023","Sun Sep 10 03:09:25 UTC 2023","1041","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sun Sep 10 03:12:41 UTC 2023","Sun Sep 10 03:12:59 UTC 2023","18211","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Sun Sep 10 03:51:07 UTC 2023","Sun Sep 10 03:51:13 UTC 2023","6565","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
